GEOID,NAME,bike_commute_pct,bike_infra_pct,total_length_m,bike_infra_length_m
42003560500,5605,1.2995049504950495,0.0,,
42003170200,1702,0.0,9.512341372911296,55568.69823504924,5285.884272600818
42003151600,1516,1.4195583596214512,3.1209262744314255,30977.199495839224,966.7755581486854
42003100500,1005,2.7624309392265194,0.0,19982.383018346012,0.0
42003140400,1404,3.1421838177533385,0.0,27143.943120400927,0.0
42003050100,501,0.0,0.0,33925.03073084426,0.0
42003250900,2509,0.8995502248875562,0.0,22283.20519348976,0.0
42003130600,1306,0.0,0.0,39067.39560191784,0.0
42003564800,5648,2.385008517887564,0.0,275.44558592926927,0.0
42003191900,1919,0.0,0.0,28232.4809301566,0.0
42003281500,2815,0.0,0.0,21630.89209098153,0.0
42003465600,4656,0.0,0.0,,
42003431100,4311,0.4746835443037975,0.0,,
42003428200,4282,0.0,0.0,,
42003270300,2703,0.0,0.0,23091.91925841613,0.0
42003141400,1414,1.6440314510364546,1.5259344899390341,81200.17276308028,1239.0614420819236
42003101100,1011,2.7420257414661444,0.9482629321480331,39891.54094389903,378.27669583365014
42003080600,806,0.9976976208749041,0.0,15141.302291810609,0.0
42003070500,705,4.239178937974119,0.0,21302.594603470527,0.0
42003140300,1403,0.9819121447028423,0.0,33002.436223131335,0.0
42003472300,4723,0.0,0.0,,
42003561900,5619,3.9408866995073892,0.0,29863.870118554365,0.0
42003160800,1608,0.0,0.0,43277.14770593028,0.0
42003130700,1307,0.0,0.0,46767.51844705821,0.0
42003010302,103.02,0.0,0.0,24191.765485608295,0.0
42003563201,5632.01,0.0,14.27010855577775,16581.1789799149,2366.152240261658
42003515401,5154.01,1.957831325301205,0.0,,
42003562700,5627,0.0,1.330920225602034,36920.108510617356,491.3771914820243
42003111300,1113,3.386699507389163,0.0,23256.866798317027,0.0
42003425000,4250,0.0,0.0,,
42003300100,3001,0.0,0.0,37955.11526268438,0.0
42003478200,4782,0.0,0.0,256.6762183852437,0.0
42003070900,709,0.958627648839556,0.0,26819.346860145208,0.0
42003141200,1412,1.204335608189482,3.8698746946369753,56578.846491835706,2189.53046290505
42003202300,2023,0.0,0.0,63849.467422945345,0.0
42003070600,706,2.440590879897238,0.0,12841.39177995247,0.0
42003040500,405,3.062117235345582,2.1389448948486565,21184.993287852423,453.13533240454996
42003191700,1917,0.0,0.0,61651.43348616209,0.0
42003090200,902,3.5301278149726114,0.0,23202.741427080746,0.0
42003130800,1308,0.0,0.0,48895.69033099999,0.0
42003180700,1807,0.0,0.1679524381368998,22120.56873641886,37.152034522564286
42003070300,703,4.098939929328622,0.0,18196.024053622397,0.0
42003020100,201,0.0,18.980003466264943,62671.58580919481,11895.069158948381
42003080200,802,2.5559105431309903,0.0,11331.170571560815,0.0
42003040600,406,1.91131498470948,3.088490862569111,9557.044403768115,295.1684431420508
42003563202,5632.02,5.0864699898270604,1.4244885987034368,27295.664382598152,388.82362707046553
42003120900,1209,0.0,0.5939768943255627,50281.90181193709,298.66287879037276
42003140500,1405,0.0,0.0,29958.91660819043,0.0
42003180300,1803,0.0,5.581919729056702,36833.28905747353,2056.0046287595983
42003271600,2716,0.0,0.0,69194.6555801758,0.0
42003191100,1911,2.1037868162692845,0.6273183835227798,48991.223854244854,307.33095355047533
42003191800,1918,0.0,0.0,56631.71475244559,0.0
42003290200,2902,0.0,0.0,50080.40167311402,0.0
42003320400,3204,0.0,0.0,31496.806240434635,0.0
42003480400,4804,0.0,0.0,364.65831138349694,0.0
42003476200,4762,0.0,0.0,,
42003141100,1411,2.0434227330779056,6.234655310602834,42336.147406602795,2639.5128625904053
42003090100,901,3.808908973531311,2.6603861075386583,28915.47265912606,769.2632175525288
42003080700,807,5.844155844155844,0.0,12619.535820104855,0.0
42003051100,511,0.0,0.0,7919.840356564309,0.0
42003140100,1401,2.10867802108678,0.5360709176296696,38420.66355383964,205.96200367247616
42003111500,1115,0.6069802731411229,0.0,54476.20683374577,0.0
42003421100,4211,0.0,0.0,,
42003050600,506,1.8518518518518516,0.0,30954.682190919768,0.0
42003040900,409,5.204944697462589,3.7239060344453554,32907.310328036256,1225.4373150794017
42003040400,404,0.0,0.0,9587.685633648809,0.0
42003040200,402,0.641025641025641,0.0,20750.15324523156,0.0
42003020300,203,0.7758620689655172,5.767343535442797,93384.17656099927,5385.78627001728
42003262000,2620,0.0,0.0,44528.60182374971,0.0
42003260700,2607,0.0,0.0,19993.507470250734,0.0
42003469000,4690,0.0,0.0,784.1355222554289,0.0
42003482500,4825,0.0,0.0,,
42003488300,4883,0.0,0.0,926.7118812230524,0.0
42003560400,5604,1.705237515225335,0.0,478.63357058947463,0.0
42003562000,5620,3.014416775884666,0.0,25380.52091842169,0.0
42003564100,5641,0.0,0.0,,
42003980600,9806,0.0,12.596230097379404,43990.40945426925,5541.133195639098
42003101900,1019,6.421299921691465,0.0,39202.093502680844,0.0
42003565100,5651,2.1963824289405682,0.1216020475178353,35021.85563500079,42.58729353090134
42003261300,2613,0.0,0.0,33294.78799072001,0.0
42003161000,1610,0.0,0.0,50820.05896859965,0.0
42003477200,4772,0.0,0.0,56.02792975607976,0.0
42003465800,4658,0.0,0.0,278.1902994090396,0.0
42003488500,4885,0.0,0.0,,
42003459201,4592.01,0.0,0.0,,
42003523100,5231,0.0,0.0,,
42003464400,4644,0.0,0.0,,
42003473100,4731,1.0033444816053512,0.0,8.23405689053065,0.0
42003473300,4733,0.0,0.0,161.48767429135518,0.0
42003160900,1609,1.2903225806451613,17.643378812635905,66904.21219423349,11804.163599038358
42003170600,1706,0.7978723404255319,0.0,31571.02760637146,0.0
42003191400,1914,0.0,0.0,36004.3441990765,0.0
42003191500,1915,0.8695652173913043,0.0,30965.970808799702,0.0
42003281400,2814,0.0,0.0,37183.15033323614,0.0
42003310200,3102,0.0,0.0,60997.44743410332,0.0
42003320600,3206,0.0,0.0,40637.51342268206,0.0
42003320700,3207,0.0,0.0,42519.34181100624,0.0
42003431500,4315,0.0,0.0,,
42003429700,4297,0.0,0.0,14.832256911662208,0.0
42003429100,4291,0.0,0.0,937.3878697761753,0.0
42003427200,4272,0.0,0.0,,
42003427000,4270,0.0,0.0,,
42003261500,2615,0.0,0.0,42458.44322403992,0.0
42003261400,2614,2.6225769669327255,0.0,41188.897514817494,0.0
42003260200,2602,0.0,0.0,33733.405379747936,0.0
42003192000,1920,0.0,0.0,46525.80365309454,0.0
42003480300,4803,0.0,48.298486473322185,11842.855048145946,5719.919743483923
42003478100,4781,0.0,0.0,,
42003151700,1517,0.0,0.0,45579.7274451392,0.0
42003141300,1413,1.5493581230633025,0.0,20942.315383070832,0.0
42003110200,1102,1.6337386018237081,0.0,35127.26655745551,0.0
42003101800,1018,0.0,0.0,36555.89521231417,0.0
42003080900,809,2.8289473684210527,0.5579053206896862,15375.104279110872,85.77852483474717
42003080400,804,0.5420054200542005,0.0,20052.23690182053,0.0
42003070800,708,0.0,19.34245357496801,19617.94221825276,3794.59136592959
42003060500,605,8.179419525065963,0.0,26658.181212327552,0.0
42003051000,510,0.0,0.0,21123.949980096433,0.0
42003130200,1302,0.0,0.0,18477.291149422505,0.0
42003120300,1203,0.0,0.0,34588.86088025926,0.0
42003110600,1106,0.8504606661941885,0.0,19447.73588829566,0.0
42003424000,4240,0.5943536404160475,0.0,,
42003562400,5624,0.0,0.0,72344.74752828381,0.0
42003562300,5623,1.0856453558504222,4.678594482440785,80183.73671045812,3751.4718815503393
42003562500,5625,0.0,0.0,64277.40856153864,0.0
42003980700,9807,0.0,20.179254438459548,36145.345608858974,7293.861258072218
42003241300,2413,3.8461538461538463,13.2557322470579,69271.77738099665,9182.481332402933
42003562901,5629.01,2.083333333333333,12.840280008002264,71397.83234291842,9167.681592474728
42003565300,5653,0.0,0.0,65504.59765208883,0.0
42003464300,4643,0.5227391531625719,0.0,2073.5097231493423,0.0
42003561400,5614,0.0,0.0,273.28537228603017,0.0
42003463900,4639,0.0,0.0,533.2763997441564,0.0
42003191600,1916,0.0,0.0,60162.67493753746,0.0
42003428100,4281,1.2711864406779663,0.0,,
42003101400,1014,0.6474396703943496,0.10393223791685822,41789.251845962826,43.432504652221155
42003140800,1408,1.2613322822230981,0.13311114325631732,29841.625298892934,39.7225286016228
42003515300,5153,0.13245033112582782,0.0,,
42003423000,4230,1.1675824175824177,0.0,,
42003030500,305,3.4807831762146484,0.4981622536634367,44299.49743457858,220.68337478167297
42003270800,2708,0.3909304143862392,0.0,37756.333428286525,0.0
42003481000,4810,0.0,0.0,54.02962545907915,0.0
42003202200,2022,0.0,0.0,38201.87545867329,0.0
42003563100,5631,0.0,0.0,59511.366610148085,0.0
42003562800,5628,0.0,0.0,4051.7003284398443,0.0
42003140200,1402,1.5676567656765676,0.0,23732.306046228427,0.0
42003472100,4721,0.0,0.0,246.8369795761477,0.0
42003484500,4845,0.0,0.0,49.66952806999991,0.0
42003050900,509,0.0,0.0,12596.589116187612,0.0
42003565200,5652,2.056404230317274,0.0,51702.67007311707,0.0
42003470501,4705.01,0.0,0.0,,
42003981800,9818,0.0,0.0,11282.506901536564,0.0
42003470502,4705.02,0.0,0.0,,
42003190300,1903,1.0286554004408524,0.0,29170.03134787065,0.0
42003460002,4600.02,0.6296508299942759,0.0,,
42003290100,2901,0.0,0.0,45768.988046070444,0.0
42003270100,2701,0.0,0.0,29360.853298723694,0.0
42003563000,5630,0.0,0.0,76776.88019995332,0.0
42003060300,603,0.44150110375275936,3.178036329023734,46726.13089909852,1484.9734151205353
42003479000,4790,0.0,0.0,,
42003476100,4761,0.0,0.0,,
42003562600,5626,0.0,0.9461636603124426,79960.60174899563,756.558156316152
42003290400,2904,0.0,0.0,55642.733234587,0.0
42003982200,9822,0.0,0.0,17221.514491534635,0.0
42003472200,4722,0.0,0.0,,
42003111400,1114,2.302158273381295,0.0,11237.186844119511,0.0
42003090300,903,3.787878787878788,0.0,15538.49233620758,0.0
