osmid,lat,lon,street_count
104185739,40.4444651,-80.0399088,3
104185746,40.444201,-80.0395987,4
104185749,40.4436411,-80.0389524,4
104185758,40.4434668,-80.0387703,1
104185884,40.4187273,-79.9983693,3
104185891,40.4187387,-79.9977799,3
104185902,40.4182435,-80.0039621,3
104185906,40.4186305,-80.0023558,3
104186099,40.4826482,-80.0302919,3
104186104,40.4827012,-80.032767,4
104186114,40.4821027,-80.0346352,3
104186744,40.4635018,-79.9306917,4
104186753,40.464501,-79.9300854,4
104186765,40.4656229,-79.9294047,3
104186773,40.4666368,-79.9287896,3
104186779,40.467034,-79.9285485,3
104186789,40.4677632,-79.9281091,4
104186797,40.4681528,-79.9278713,3
104186802,40.4687572,-79.927507,3
104186809,40.4697734,-79.9270558,4
104186816,40.4706445,-79.9266696,3
104186822,40.4715417,-79.9262698,4
104186829,40.4724713,-79.9258577,3
104186833,40.4728237,-79.9257015,3
104186843,40.4732599,-79.9255081,3
104186854,40.4740428,-79.9251611,3
104186862,40.4742188,-79.9250831,3
104186871,40.4754361,-79.9245434,4
104186881,40.4763448,-79.9241405,3
104186887,40.4772417,-79.9237429,4
104186898,40.477987,-79.9232946,4
104186908,40.478717,-79.922847,3
104186918,40.4794189,-79.9224138,3
104187288,40.48173,-80.0265683,3
104187293,40.4817138,-80.0269733,4
104187301,40.4816061,-80.0278936,3
104187319,40.4814353,-80.0295061,3
104187324,40.4819263,-80.0328139,4
104187329,40.4817084,-80.0339443,4
104187341,40.4812769,-80.0360128,4
104187353,40.4809607,-80.0373265,3
104187364,40.4804911,-80.0393119,4
104187370,40.4803666,-80.0398352,3
104187373,40.4802409,-80.0403622,4
104187384,40.4800726,-80.0410674,4
104187391,40.4799007,-80.0418039,4
104187495,40.45991,-80.0283878,1
104187503,40.4596963,-80.0295215,4
104187508,40.4595786,-80.0301468,3
104187715,40.4489397,-79.961512,3
104187751,40.4495766,-79.9630503,3
104187842,40.4504559,-79.9638592,3
104188722,40.4482322,-80.0803706,3
104188730,40.4485874,-80.0808238,1
104188864,40.4484976,-80.0800326,3
104188871,40.4481587,-80.0794908,1
104189148,40.4671685,-79.9976472,1
104191147,40.394473,-79.996284,3
104191311,40.4539394,-79.9978399,4
104191391,40.3916597,-80.0131257,3
104191407,40.3922868,-80.0108954,3
104191585,40.466179,-79.9519387,3
104191613,40.4671722,-79.9514776,3
104191960,40.4529499,-79.9443426,3
104191966,40.4524748,-79.9441053,1
104192015,40.4549318,-79.961917,3
104192054,40.457602,-79.9625876,3
104192081,40.4562654,-79.9632063,3
104192763,40.4238092,-79.9689047,3
104192770,40.4236239,-79.9699574,3
104193270,40.4069715,-80.0422727,3
104193301,40.4092595,-80.0434658,5
104193457,40.4729724,-80.0313225,3
104193463,40.4729541,-80.0318588,3
104193472,40.4727694,-80.0318485,3
104193482,40.4722617,-80.0316959,3
104193498,40.472745,-80.0312506,3
104193516,40.4713819,-80.0337268,4
104193527,40.471879,-80.0344636,1
104193537,40.4700203,-80.0337465,3
104193549,40.4699904,-80.0345783,1
104194342,40.4143628,-79.9295456,3
104194402,40.4169236,-79.9324804,3
104194450,40.4184435,-79.932882,3
104194691,40.4556792,-80.0573983,3
104194704,40.456256,-80.058627,1
104196404,40.4809488,-79.9287303,4
104196413,40.4823885,-79.928275,4
104196428,40.4846016,-79.9274997,4
104196433,40.4856643,-79.9261746,4
104196442,40.4875975,-79.9241735,3
104196599,40.4856991,-79.9248067,3
104196608,40.4854269,-79.925134,4
104196616,40.4851571,-79.9254629,3
104196887,40.4039913,-79.9908959,3
104196932,40.4609327,-79.991845,3
104196939,40.46102,-79.9913742,1
104196946,40.4666386,-79.9898807,3
104196955,40.4667297,-79.9893728,3
104196960,40.4668114,-79.9889258,3
104196966,40.4668173,-79.9889003,1
104197178,40.4521941,-79.8711022,1
104197185,40.4522431,-79.8705626,1
104197201,40.4518431,-79.8701683,1
104197218,40.4518469,-79.8685756,1
104197803,40.4844333,-79.907759,3
104197837,40.4476767,-80.0076521,4
104198588,40.4368354,-79.9546421,3
104198595,40.4373239,-79.9541402,3
104198851,40.427734,-79.9491015,4
104198857,40.4282209,-79.9492515,3
104199350,40.3812488,-80.0022459,3
104199796,40.4136038,-79.992956,3
104199801,40.4136209,-79.9919982,3
104200786,40.3889009,-79.9991792,3
104200791,40.3902826,-79.9994441,1
104201157,40.3883741,-80.0058796,3
104201164,40.3880142,-80.0058998,4
104201268,40.4376336,-80.0190891,3
104201646,40.4405428,-79.9780372,2
104202020,40.441133,-79.9679689,4
104202717,40.3655703,-79.9088866,4
104202725,40.3655155,-79.9099368,3
104206398,40.4399141,-79.9744724,1
104206700,40.4378592,-79.947071,1
104206768,40.4377418,-79.9484735,2
104206811,40.4380628,-79.9488724,2
104206938,40.440244,-79.9487652,3
104206987,40.4657009,-79.9480683,4
104206993,40.4660424,-79.9479403,4
104207106,40.4660068,-79.9473844,3
